,price,rating,brand,ram,ssd_storage,color,processor
0,75990.0,3.6,Hp,16,512,Silver,Intel
1,69990.0,3.2,Hp,16,512,Silver,Snapdragon
2,44999.0,4.0,Lenovo,8,512,Silver,Amd
3,69990.0,3.8,Dell,16,512,Gray,Intel
4,73990.0,4.8,Apple,8,256,Indigo,Unknown
5,73990.0,4.7,Apple,8,256,Silver,Unknown
6,65990.0,4.1,Asus,16,512,Blue,Intel
7,67990.0,4.0,Asus,16,512,Silver,Intel
8,84990.0,4.0,Hp,16,1024,Silver,Snapdragon
9,172490.0,4.7,Apple,16,1024,Unknown,Unknown
10,42990.0,4.2,Acer,16,512,Gray,Amd
11,44990.0,4.1,Acer,8,256,Silver,Amd
12,35690.0,3.4,Acer,16,256,Silver,Intel
13,35990.0,1.0,Acer,8,256,Silver,Intel
14,57490.0,3.9,Dell,8,512,Black,Intel
15,62490.0,4.0,Dell,16,512,Black,Intel
16,38700.0,2.8,Acer,8,512,Silver,Amd
17,82654.0,3.8,Lenovo,16,512,Gray,Unknown
18,29990.0,,Hp,4,512,Gray,Mediatek
19,50500.0,5.0,Hp,16,512,Silver,Intel
20,44990.0,4.2,Hp,12,512,Silver,Intel
21,69790.0,4.0,Hp,16,512,Silver,Amd
22,69990.0,3.2,Hp,16,512,Silver,Snapdragon
23,342490.0,4.6,Apple,24,2048,Silver,Unknown
24,194990.0,4.8,Apple,24,1024,Unknown,Unknown
25,69790.0,4.0,Hp,16,512,Silver,Amd
26,49450.0,4.1,Hp,8,512,Silver,Amd
27,64390.0,3.8,Acer,16,512,Silver,Intel
28,73990.0,4.8,Apple,8,256,Indigo,Unknown
29,61490.0,5.0,Hp,16,512,Silver,Intel
30,95990.0,4.1,Hp,6,512,Blue,Amd
31,54990.0,4.4,Lenovo,8,512,Gray,Amd
32,73990.0,4.7,Apple,8,256,Silver,Unknown
33,44990.0,5.0,Acer,8,256,Unknown,Amd
34,69999.0,3.8,Lenovo,16,512,Gray,Amd
35,84990.0,2.8,Lenovo,16,512,Gray,Intel
36,342490.0,4.5,Apple,24,1024,Silver,Unknown
37,58800.0,,Lenovo,16,512,Gray,Intel
38,60250.0,5.0,Acer,16,512,Silver,Intel
39,82990.0,4.2,Asus,16,512,Silver,Intel
40,32990.0,,Hp,4,512,gray,Mediatek
41,56900.0,5.0,Lenovo,16,512,Gray,Amd
42,85990.0,3.3,Hp,24,1024,Silver,Intel
43,58990.0,4.1,Asus,8,512,Silver,Intel
44,54058.0,4.6,Lenovo,8,512,Gray,Intel
45,24990.0,3.7,Asus,4,64,Blue,Mediatek
46,55990.0,4.1,Lenovo,8,512,Gray,Amd
47,69990.0,3.2,Hp,16,512,Silver,Snapdragon
48,342490.0,4.6,Apple,24,2048,Silver,Unknown
49,64390.0,3.8,Acer,16,512,Silver,Intel
50,85990.0,3.3,Hp,24,1024,Silver,Intel
51,37400.0,,Unknown,8,256,Unknown,Unknown
52,73990.0,4.8,Apple,8,256,Indigo,Unknown
53,79990.0,4.1,Hp,16,512,Silver,Snapdragon
54,58990.0,4.1,Asus,8,512,Silver,Intel
55,67400.0,3.9,Hp,16,512,Silver,Amd
56,54990.0,4.4,Lenovo,8,512,Gray,Amd
57,68490.0,3.9,Lenovo,16,512,Gray,Amd
58,24990.0,3.7,Asus,4,64,Blue,Mediatek
59,87990.0,4.2,Lenovo,24,1024,Gray,Intel
60,73990.0,4.7,Apple,8,256,Silver,Unknown
61,194990.0,4.8,Apple,24,1024,Unknown,Unknown
62,42999.0,3.2,Hp,8,512,Black,Intel
63,25640.0,5.0,Maxbook,8,256,Unknown,Unknown
64,68699.0,3.0,Hp,16,512,Silver,Intel
65,47990.0,3.8,Acer,8,512,Silver,Amd
66,39890.0,3.3,Acer,12,512,Silver,Intel
67,84990.0,4.0,Hp,16,1024,Silver,Snapdragon
68,67999.0,4.2,Lenovo,16,512,Gray,Amd
69,98990.0,3.7,Lenovo,16,512,Gray,Intel
70,56690.0,3.6,Lenovo,16,512,Gray,Amd
71,53490.0,,Lenovo,16,512,Gray,Amd
72,69990.0,3.2,Hp,16,512,Silver,Snapdragon
73,64390.0,3.8,Acer,16,512,Silver,Intel
74,342490.0,4.6,Apple,24,2048,Silver,Unknown
75,53490.0,,Lenovo,16,512,Gray,Amd
76,77990.0,3.0,Hp,16,512,Silver,Intel
77,73990.0,4.8,Apple,8,256,Indigo,Unknown
78,85990.0,4.0,Hp,16,1024,Silver,Snapdragon
79,31990.0,4.3,Primebook,8,512,Gray,Mediatek
80,66690.0,5.0,Dell,16,512,Unknown,Intel
81,54990.0,4.4,Lenovo,8,512,Gray,Amd
82,194990.0,4.8,Apple,24,1024,Unknown,Unknown
83,63990.0,4.1,Asus,16,512,Silver,Snapdragon
84,65990.0,3.9,Hp,16,1024,Silver,Intel
85,73990.0,4.7,Apple,8,256,Silver,Unknown
86,75990.0,3.6,Hp,16,512,Silver,Intel
87,62500.0,4.1,Hp,16,512,Silver,Intel
88,132990.0,4.0,Lenovo,6,512,Gray,Amd
89,70990.0,3.6,Lenovo,16,512,Gray,Intel
90,129990.0,4.1,Hp,8,1024,Silver,Intel
91,84990.0,2.8,Acer,32,1024,Unknown,Amd
92,54990.0,3.0,Hp,8,512,Silver,Amd
93,49990.0,4.0,Acer,8,512,Gray,Intel
94,61200.0,4.2,Lenovo,16,512,Gray,Amd
95,42032.0,1.0,Acer,8,512,Gray,Amd
96,48990.0,4.0,Acer,8,256,Gray,Intel
97,69990.0,3.2,Hp,16,512,Silver,Snapdragon
98,64390.0,3.8,Acer,16,512,Silver,Intel
99,342490.0,4.6,Apple,24,2048,Silver,Unknown
100,61200.0,4.2,Lenovo,16,512,Gray,Amd
101,42032.0,1.0,Acer,8,512,Gray,Amd
102,68490.0,3.9,Lenovo,16,512,Gray,Amd
103,54990.0,4.4,Lenovo,8,512,Gray,Amd
104,79589.0,,Lenovo,16,512,Gray,Intel
105,54990.0,,Asus,8,512,Black,Amd
106,73990.0,4.8,Apple,8,256,Indigo,Unknown
107,73990.0,4.7,Apple,8,256,Silver,Unknown
108,42990.0,4.5,Asus,8,128,Unknown,Mediatek
109,48990.0,4.0,Acer,8,256,Gray,Intel
110,79990.0,4.1,Hp,16,512,Silver,Snapdragon
111,84990.0,2.8,Lenovo,16,512,Gray,Intel
112,42999.0,3.8,Hp,16,256,Black,Amd
113,184990.0,4.4,Asus,8,512,Gray,Amd
114,249990.0,3.7,Asus,8,512,Gray,Intel
115,63990.0,3.6,Hp,16,512,Silver,Intel
116,69990.0,3.2,Hp,16,512,Silver,Snapdragon
117,24900.0,,Tech,4,128,Unknown,Unknown
118,57250.0,3.9,Lenovo,16,512,Gray,Amd
119,91700.0,3.3,Lenovo,16,512,Unknown,Amd
120,59800.0,,Lenovo,8,512,Gray,Intel
121,59990.0,4.1,Acer,16,512,Gray,Amd
122,69990.0,3.2,Hp,16,512,Silver,Snapdragon
123,342490.0,4.6,Apple,24,2048,Silver,Unknown
124,194990.0,4.8,Apple,24,1024,Unknown,Unknown
125,68480.0,5.0,Hp,16,512,Silver,Intel
126,482490.0,5.0,Lenovo,24,1024,Black,Intel
127,75990.0,3.6,Hp,16,512,Silver,Intel
128,156555.0,4.2,Alienware,8,1024,Indigo,Intel
129,43950.0,4.0,Hp,8,256,Silver,Amd
130,50031.0,,Hp,16,512,Silver,Intel
131,64390.0,3.8,Acer,16,512,Silver,Intel
132,81490.0,5.0,Dell,16,512,Unknown,Intel
133,149990.0,4.2,Hp,8,1024,Black,Intel
134,54650.0,3.8,Acer,8,512,Silver,Intel
135,73990.0,4.8,Apple,8,256,Indigo,Unknown
136,73490.0,2.5,Dell,8,512,Black,Intel
137,234454.0,,Hp,16,1024,Unknown,Intel
138,186990.0,,Hp,16,1024,Gray,Intel
139,89990.0,5.0,Hp,4,512,Silver,Intel
